Transcript_ID,Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
ENSMUST00000003461.15,Ogdh,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000003493.9,Prkcsh,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000003509.10,St8sia6,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000003521.10,Rps11,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000003575.11,Tpm4,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000003622.16,Slc25a1,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000003635.7,Ier3,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000003640.4,Fosb,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000003714.13,Cp,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000003741.16,Rps6ka1,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000003759.11,Ciao1,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000003828.11,Kpna6,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000003850.8,Itpkc,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUST00000003906.13,Farsa,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000003912.7,Calr,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000004054.13,Kpna1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000004072.10,Rpl8,0,0,1,1,0,0,1,0,0,0,0,0
ENSMUST00000004156.10,Map3k11,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000004316.15,Psap,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000004327.11,G6pdx,0,0,0,0,0,0,0,1,0,0,0,1
ENSMUST00000004389.6,Grcc10,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000004470.9,Utp20,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000004554.14,Rps5,1,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000004673.15,Ndrg2,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000004774.4,Aqp1,0,0,0,0,0,0,0,1,0,0,0,1
ENSMUST00000004784.11,Cnn2,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000004786.10,Polr2e,0,0,0,0,1,0,0,0,0,0,0,1
ENSMUST00000004965.8,Chmp2b,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000004968.11,Plod3,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000005017.15,Hdgf,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000005041.15,U2af2,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000005051.6,Ldha,1,0,0,0,0,0,0,0,1,0,1,0
ENSMUST00000005077.7,Hspb1,0,0,0,0,0,0,0,0,1,1,0,1
ENSMUST00000005103.12,Nfe2l3,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000005185.8,Cstb,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000005256.14,Ndrg1,0,0,1,0,0,0,1,0,0,0,0,0
ENSMUST00000005371.12,Trp53,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000005406.12,App,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000005503.5,Msh6,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000005548.8,Hmox1,0,0,0,1,0,0,0,1,0,1,0,0
ENSMUST00000005620.10,Dnajb1,0,0,0,0,0,0,1,1,0,0,1,0
ENSMUST00000005647.4,Ndufs3,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000005651.13,Por,0,0,0,0,0,0,0,0,1,1,0,0
ENSMUST00000005705.8,Trim28,0,1,1,0,0,1,0,0,2,0,1,0
ENSMUST00000005714.14,Ube2m,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000005798.9,Snx6,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000005826.9,Cs,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000005923.7,Psmb4,0,0,1,0,0,0,0,0,0,0,0,1
ENSMUST00000005964.7,Adh5,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000006027.7,Reep5,0,0,0,1,0,0,0,0,1,0,0,0
ENSMUST00000006035.13,Ergic3,0,1,0,1,0,0,0,0,1,0,0,0
ENSMUST00000006167.13,Odr4,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000006235.9,Ctsb,0,0,1,1,0,0,0,1,0,0,0,0
ENSMUST00000006435.8,Atp6v1b2,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000006462.14,Aamp,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000006467.14,Arpc2,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000006496.15,Rps9,0,0,0,0,0,0,0,0,0,0,1,1
ENSMUST00000006544.9,Gcat,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000006611.9,Srm,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000006614.3,Epha2,2,1,0,0,0,0,0,1,1,0,0,0
ENSMUST00000006618.9,Arhgef19,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000006629.14,Sptbn1,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000006646.15,Nsmf,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000006838.16,Qars,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000006973.12,Kat2a,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000007005.14,Acat2,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000007042.6,Ik,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000007131.16,Acly,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUST00000007257.10,Clic1,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000007272.8,Krt14,0,0,0,0,0,0,3,3,4,7,7,3
ENSMUST00000007296.12,Pole,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000007317.8,Krt19,3,2,0,0,0,0,0,0,0,0,0,0
ENSMUST00000007602.15,M6pr,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000007708.14,Ppp2r1a,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000007884.15,Zfp54,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000007961.15,Zmiz1,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000007980.7,Hnrnpa0,0,0,0,0,0,0,0,1,0,0,1,0
ENSMUST00000008004.10,Ddx49,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000008036.9,Rplp1,0,0,0,0,0,0,1,0,1,1,0,0
ENSMUST00000008280.14,Fhl2,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000008528.8,Sertad1,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000008684.11,Mgst1,1,0,1,1,0,0,0,0,0,0,0,0
ENSMUST00000008812.9,Rps18,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000008826.14,Rpl10,0,0,0,0,0,0,0,1,0,2,0,0
ENSMUST00000008991.8,Sptbn2,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000008995.15,Hdac4,0,0,0,0,0,0,0,1,1,0,0,0
ENSMUST00000009039.6,Rpl30,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUST00000009138.13,Stk38,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000009143.8,Bmp7,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000009157.4,Dynll1,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000009699.16,Cdk9,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000010007.9,Sdhb,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000010192.11,Ifrd2,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000010211.7,Rassf1,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000010239.6,Slc3a2,0,1,0,0,0,0,0,0,1,0,0,0
ENSMUST00000010421.7,2610507B11Rik,0,0,0,0,0,0,1,1,0,0,0,1
ENSMUST00000010698.13,Mettl16,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000010804.4,Plcd1,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000011178.5,Slc5a1,1,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000011492.15,Acad9,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000011877.13,Sptbn1,0,0,0,0,0,0,0,0,0,1,0,1
ENSMUST00000011896.8,Pgam1,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUST00000013220.8,Amotl1,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000013693.11,Commd8,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000013949.15,Birc3,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000014421.15,Ankrd17,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000014445.7,Pam16,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000014499.10,Anapc1,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000014684.6,U2af1,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000014917.8,Dll1,0,0,0,0,0,0,1,0,1,2,0,1
ENSMUST00000015000.12,Tmem208,0,0,0,0,1,0,0,0,1,0,0,0
ENSMUST00000015049.5,Dnajb9,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUST00000015239.10,Fbxw5,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000015346.12,Cnksr3,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000015435.11,Gdi1,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000015449.6,Sash1,0,1,0,0,0,0,0,0,0,0,0,0
