Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
Alyref,0,1,0,0,0,0,0,0,0,0,0,1
Ambra1,0,0,0,0,0,0,0,1,0,0,0,0
Amd1,0,0,0,0,0,0,0,0,1,0,0,1
Amfr,0,1,0,0,0,0,0,0,0,0,0,0
Amotl1,0,0,0,0,0,0,0,0,0,2,0,0
Anapc1,0,0,0,0,0,0,0,0,0,0,0,1
Anapc2,0,1,0,0,0,0,0,0,0,0,0,0
Anapc5,0,0,0,0,1,0,2,0,0,0,0,0
Anapc7,0,0,0,0,0,0,0,0,0,0,0,1
Angptl4,1,0,0,0,0,0,0,1,0,2,1,2
Ank3,0,0,0,0,0,0,0,0,1,0,0,0
Ankhd1,0,0,0,0,0,0,0,0,1,0,0,0
Ankrd11,0,0,0,0,1,0,1,0,0,1,0,0
Ankrd13a,0,0,0,1,0,0,0,0,0,0,0,0
Ankrd17,1,0,0,0,0,0,0,0,1,0,0,0
Ankrd24,1,0,0,0,0,0,0,0,0,0,0,0
Ankrd26,0,0,0,0,0,0,1,0,0,0,0,0
Ano1,0,0,0,0,0,1,0,0,1,0,1,0
Ano6,0,0,0,0,0,0,0,0,0,0,0,1
Ano8,0,0,0,0,0,0,0,0,1,0,0,0
Anp32b,0,0,0,0,0,0,1,0,0,1,0,0
Anpep,1,0,0,0,0,0,0,0,0,0,0,0
Antkmt,0,0,0,0,0,0,0,0,1,0,0,0
Anxa1,0,0,2,1,0,0,0,0,0,0,2,0
Anxa2,0,2,0,0,0,0,0,0,0,1,0,0
Anxa6,0,0,0,0,0,0,0,0,0,0,1,0
Anxa7,0,0,0,0,0,1,0,0,0,0,0,0
Aoc3,0,0,0,0,0,0,0,0,0,1,0,0
Ap1b1,1,0,1,0,0,0,0,0,0,0,0,0
Ap1m2,0,0,0,0,0,1,0,0,0,0,0,0
